dba_name,community_areas,census_tracts,no_of_violations,crime_count
archer cafe,58.0,723.0,7.333333333333333,8.0
archies,10.0,48.0,12.0,9.0
arclight cinemas,37.0,108.0,3.0,40.0
arden restaurant,64.0,182.0,6.0,17.4
aretha dream,67.0,496.0,4.0,21.0
argo tea,39.666666666666664,261.8333333333333,3.3055555555555554,25.416666666666668
argo tea cafe,38.0,92.0,2.0,32.5
argo tea cafe-tribune tower,37.0,159.0,2.5714285714285716,25.142857142857142
"argo tea uch, llc",8.0,154.0,3.0,4.0
armand pizza,34.75,554.0,7.5,20.5
armand pizzeria,59.666666666666664,594.6666666666666,5.5,6.0
armand victory tap,34.0,374.0,5.0,4.0
armando,17.0,392.0,3.0,9.0
armands pizzeria,46.0,623.0,2.0,5.166666666666667
armitage courtyard cafe,21.0,135.0,3.25,2.0
armitage pizzeria,68.0,273.0,2.0,7.5
aroma on north avenue,37.0,309.0,5.2,22.8
"around the world - chicago,inc",10.0,48.0,0.0,6.0
aroy thai restaurant,6.0,665.0,8.0,6.714285714285714
art drive inn,25.0,109.0,8.833333333333334,13.833333333333334
art zone gallery cafe,13.0,799.0,4.333333333333333,4.333333333333333
artango bar and steakhouse,6.0,665.0,6.0,5.5
artango center,57.0,651.0,4.0,11.333333333333334
artisan  catering,23.0,324.0,3.0,12.4
artists cafe,38.0,368.0,3.2,21.8
artists snack shop,38.0,367.0,4.714285714285714,22.285714285714285
"artopolis bakery, cafe angor",29.0,91.0,6.833333333333333,20.833333333333332
arturo express,29.0,786.0,2.5,24.666666666666668
arturo tacos,23.0,324.0,9.166666666666666,13.666666666666666
arturo velasquez institute,33.0,204.0,1.0,4.0
arturos mexican food,64.0,333.0,3.0,14.0
arun thai restaurant,16.0,23.0,4.142857142857143,9.0
arya bhavan,20.0,41.0,5.666666666666667,8.5
asada,38.0,92.0,2.2,29.6
asado coffee company,57.0,650.0,3.25,12.0
asado coffee roasters,32.6,485.2,3.0,21.8
asahi roll,10.0,267.0,7.5,14.5
asia buffet and grill,69.0,235.0,7.0,5.0
asian avenue,57.0,742.0,7.5,15.5
asian cafe,57.0,680.0,4.166666666666667,15.0
asian cajun,68.0,743.0,10.333333333333334,11.333333333333334
asian cajun plus,34.0,374.0,5.0,10.0
"asian chopsticks, inc",38.0,368.0,9.6,29.6
asian cuisine express,32.0,200.0,6.0,13.2
asian mix,57.0,83.0,3.3333333333333335,18.11111111111111
asian outpost,34.0,374.0,3.0,5.5
asian spoon,39.0,416.0,6.0,25.0
asian town noodles,17.0,392.0,8.333333333333334,3.8333333333333335
asociacion social del azuay,16.0,364.0,2.6,9.8
assyrian american association,10.0,242.0,3.0,8.6
astoria cafe bakery,16.0,116.0,1.0,4.0
astoria coffee shop,14.0,257.0,7.0,11.0
atardecer acapulqueno,32.0,201.0,28.0,9.0
atardecer acapulqueno inc.,32.0,201.0,4.6,14.4
athena restaurant,29.0,91.0,9.0,22.0
athenian room restaurant,68.0,744.0,8.875,14.5
atino pizza # 2 inc,29.0,97.0,7.0,22.666666666666668
atk,57.0,681.0,4.0,14.0
atolito catering inc,31.0,241.0,5.0,9.5
atomix cafe,25.0,519.0,5.2,21.4
attock submarine,42.0,510.0,3.0,12.0
atwood,38.0,92.0,6.0,27.0
au bon pain,30.94782608695652,258.32173913043476,3.8869565217391306,21.591304347826085
au cheval,29.0,63.0,5.8,21.0
augie,68.0,743.0,7.2,9.2
augusta pizza grill,24.0,99.0,3.625,21.75
"aunt patty coffee shop, inc.",26.0,598.0,3.0,39.666666666666664
auntie anne pretzel,63.0,318.0,3.25,6.0
auntie anne pretzels,29.0,786.0,11.0,15.0
auntie anne pretzels and jam,37.0,534.0,3.0,36.0
auntie anne pretzels red mango,37.0,233.0,2.6666666666666665,31.833333333333332
auntie annie,29.0,786.0,5.5,24.0
auntie annie pretzels,29.0,784.0,3.8,21.8
auntie annie pretzels and jamba juice,37.0,534.0,3.5,30.5
aunty joy,76.0,536.0,6.0,6.5
aurelio pizza,38.6,444.2,7.4,7.6
aurora chicago lakeshore,31.0,19.0,4.2,10.2
authentic cooking,67.0,474.0,8.0,17.0
autumn green at midway village,63.0,318.0,3.8333333333333335,6.666666666666667
autumn green at wright campus,17.0,442.0,8.285714285714286,5.428571428571429
avalon bar grill,75.0,64.0,21.0,9.0
avantgarde bg,36.0,699.0,4.666666666666667,2.0
avanti caffe,38.0,92.0,5.0,23.714285714285715
ave pasta,37.0,104.0,15.0,44.0
avec,29.0,784.0,5.833333333333333,22.833333333333332
avenida del sabor,19.0,58.0,5.666666666666667,15.333333333333334
avenue tavern,57.0,684.0,3.857142857142857,14.571428571428571
aviato,29.0,784.0,5.0,22.5
aviva restaurant,29.0,91.0,5.0,13.0
avondale coffee and grill house,22.0,138.0,4.0,6.333333333333333
avy pizza,49.0,705.0,4.166666666666667,5.5
awake cafe,26.5,549.75,7.0,18.0
awash ethiopian restaurant,76.0,536.0,4.5,6.0
awil mohamed eric,20.0,43.0,12.0,6.0
ay  ay picante,14.0,257.0,5.6,6.0
ay chiwowa,37.0,652.0,5.5,23.5
azteca chicago grill,56.0,192.0,2.0,1.0
azteca de oro mexican grill,57.0,691.0,3.6666666666666665,14.0
azteca grill #2,57.0,681.0,2.3333333333333335,10.333333333333334
azteca inc,15.0,259.0,3.25,11.0
azteca tacos,33.0,365.0,7.0,9.0
azteca tacos restaurant inc,33.0,270.0,5.0,9.5
aztecas mex taqueria,6.0,29.0,7.0,9.0
azucar bar grill,23.0,549.0,3.8,13.0
"azucar, nieves and cafe corporation",32.0,227.0,4.333333333333333,13.333333333333334
azzurra enotavola,25.0,482.0,1.5,19.5
b -side burger,16.0,364.0,2.0,8.0
b a supersub inc,30.0,33.0,4.0,27.666666666666668
b and j restaurant inc,36.0,699.0,4.0,3.0
b b q patio,56.0,192.0,2.5,2.75
b m g inc,73.0,369.0,5.0,4.333333333333333
b treats,64.0,349.0,4.0,16.0
b&h club,13.0,747.0,3.0,3.5
"b' gabs goodies, llc",8.5,451.5,3.5,10.0
b. bim asian eatery,25.0,481.0,5.0,28.0
ba le sandwiches #3,38.0,92.0,2.857142857142857,24.0
baba coffee,13.0,167.0,5.5,2.5
baba famous steak and lemonade,27.0,736.0,11.0,13.333333333333334
baba famous steak lemonade,11.0,449.8,7.0,12.2
"baba kitchen, fish and chicken, inc.",24.0,390.0,5.333333333333333,21.0
baba pita,29.0,583.5,10.0,23.75
baba pita palace,37.0,652.0,20.0,23.0
baba steak lemonade,67.0,474.0,3.6666666666666665,17.666666666666668
baba village,29.0,786.0,4.166666666666667,24.166666666666668
babas famous steak lemonade,48.0,252.0,2.0,9.0
babb bbq,69.0,198.0,8.5,6.5
baby burritos,69.0,199.0,4.142857142857143,6.714285714285714
babylon,29.0,509.75,4.75,12.75
babylon food and cafe,20.0,65.0,5.333333333333333,14.0
bacardi at the park,35.0,376.0,4.0,5.0
bacchanalia rest lng,33.0,204.0,5.666666666666667,7.333333333333333
bacci cafe and pizzeria on milaukee ave. inc.,15.0,259.0,6.428571428571429,9.714285714285714
bacci cafe pizzeria ltd,29.0,757.0,7.125,24.75
bacci cafe pizzeria wrigleyville inc.,57.0,727.0,5.0,20.5
bacci pizza franklin,38.0,92.0,9.0,24.5
bacci pizza little italy inc.,29.0,758.0,7.75,27.75
bacci pizzeria,68.0,794.0,7.0,10.75
bacci pizzeria on chicago ave,25.0,546.0,6.571428571428571,23.0
bacci-oldtown,37.0,290.0,5.0,19.0
bacino of lincoln park ltd,68.0,798.0,7.166666666666667,9.166666666666666
bacino on clinton,29.0,786.0,1.0,23.0
bacinos italian grill,57.0,103.0,8.5,17.0
back room,37.0,104.0,3.0,23.0
backyard grill,12.0,713.0,6.2,1.8
"bacolod chicken haus, inc",13.0,747.0,4.285714285714286,3.7142857142857144
bacon jam,73.0,264.0,15.0,2.0
bad ass coffee of hawaii,57.0,728.0,3.0,13.0
bad dog tavern and grill,6.0,667.0,14.0,8.333333333333334
bad hunter,29.0,63.0,9.0,26.5
bad wolf coffee,57.0,239.0,3.0,14.0
badhappy poutine shop,37.0,148.0,1.0,23.0
badou senegalese cuisine,10.0,52.0,4.833333333333333,10.833333333333334
bagelers coffeehouse,68.0,769.0,11.666666666666666,13.666666666666666
bahay  kubo,20.0,65.0,6.666666666666667,12.0
"bai cafe, inc.",57.0,239.0,4.666666666666667,14.333333333333334
baisi thai,37.0,104.0,8.6,24.6
"bait fast food, inc.",26.0,68.0,5.0,39.0
bajo cero,32.0,291.0,23.0,13.0
bake,25.0,298.0,3.0,20.333333333333332
bake for me,37.0,670.0,4.166666666666667,24.666666666666668
bake for me!,38.0,580.0,3.5,27.5
baker miller,14.0,258.0,3.5,8.5
"baker miller, llc",6.0,666.0,6.0,2.0
baker nosh bakery,31.0,611.0,3.0,7.666666666666667
baker square # 220203,20.0,268.0,6.4,8.6
bakers square  220185,17.0,444.0,7.875,4.375
bakers square # 220658,36.0,735.0,7.6,2.4
bakery garden cafe inc.,29.0,97.0,4.0,28.0
"bakin' eggs: a lovely idea, llc",57.0,712.0,4.777777777777778,15.666666666666666
bale sandwich and bakery,31.0,633.0,14.2,7.0
balena,68.0,273.0,4.666666666666667,12.333333333333334
balzekas museum of lithuanian,63.0,6.0,0.3333333333333333,6.0
bambi,59.0,788.0,0.0,21.0
